trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,response,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,17.915229300000647,18.930132699999376,18.930132699999376,19.230334899999434,18.930132699999376,19.230334899999434,17.915229300000647,20.247084199996607,19.230334899999434,20.231818399995973,20.231818399995973,21.381457399998908,left,0.6199140000026091,21.381457399998908,None,0.24,180.0,180,1,1.0,1,54456.954636,16.87928621000683,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
1,0,1,0,None,None,None,None,23.05694239999866,24.067010099999607,24.067010099999607,24.36752169999818,24.067010099999607,24.36752169999818,23.05694239999866,25.385215999995125,24.36752169999818,25.3684288000004,25.3684288000004,26.52072549999866,right,0.5850664000026882,26.52072549999866,None,0.03,180.0,0,0,0.0,0,54462.124531,22.05001117999636,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
2,0,2,0,None,None,None,None,28.14237769999454,29.15561319999688,29.15561319999688,29.455869199999142,29.15561319999688,29.455869199999142,28.14237769999454,30.475675999994564,29.455869199999142,30.458213300000352,30.458213300000352,31.60834149999573,left,0.5291817999968771,31.60834149999573,None,0.12,180.0,180,1,1.0,1,54467.210253,27.138388880001727,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
3,0,3,0,None,None,None,None,33.180843399997684,34.19448209999973,34.19448209999973,34.49628819999634,34.19448209999973,34.49628819999634,33.180843399997684,35.51422420000017,34.49628819999634,35.495555699999386,35.495555699999386,36.66355990000011,left,0.4419045999966329,36.66355990000011,None,0.06,0.0,180,0,1.0,0,54472.247923,32.175865379995955,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
4,0,4,0,None,None,None,None,38.15212909999536,39.16672409999592,39.16672409999592,39.482854800000496,39.16672409999592,39.482854800000496,38.15212909999536,40.50214949999645,39.482854800000496,40.48397339999792,40.48397339999792,41.63575869999477,right,0.3977167000048212,41.63575869999477,None,0.48,0.0,0,1,1.0,0,54477.219063,37.14794628000236,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
5,0,5,0,None,None,None,None,43.075778999998874,44.08853009999439,44.08853009999439,44.38892259999557,44.08853009999439,44.38892259999557,43.075778999998874,45.40651789999538,44.38892259999557,45.388455199994496,45.388455199994496,46.55749609999475,right,0.4198467000023811,46.55749609999475,None,0.48,180.0,0,0,0.0,0,54482.142157,42.069535380000886,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
6,0,6,0,None,None,None,None,48.030071499997575,49.04294249999657,49.04294249999657,49.34388619999663,49.04294249999657,49.34388619999663,48.030071499997575,50.36187419999624,49.34388619999663,50.344211099996755,50.344211099996755,51.4958759000001,left,0.33743369999865536,51.4958759000001,None,0.12,180.0,180,1,0.0,0,54487.096964,47.02473847999936,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
7,0,7,0,None,None,None,None,52.883917200000724,53.89799189999758,53.89799189999758,54.19833029999427,53.89799189999758,54.19833029999427,52.883917200000724,55.21625739999581,54.19833029999427,55.19804309999745,55.19804309999745,56.35015709999425,right,0.25929299999552313,56.35015709999425,None,0.06,0.0,0,1,0.0,1,54491.951126,51.87863707999786,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
8,0,8,0,None,None,None,None,57.65537290000066,58.6700320999953,58.6700320999953,58.98463410000113,58.6700320999953,58.98463410000113,57.65537290000066,60.0045095999958,58.98463410000113,59.98641579999821,59.98641579999821,61.13871759999893,left,0.36694469999929424,61.13871759999893,None,0.24,180.0,180,1,1.0,1,54496.722358,56.65006377999525,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
9,0,9,0,None,None,None,None,62.54299119999632,63.55791359999421,63.55791359999421,63.857791099995666,63.55791359999421,63.857791099995666,62.54299119999632,64.87458689999767,63.857791099995666,64.85935729999619,64.85935729999619,66.01028239999869,right,0.27105329999903915,66.01028239999869,None,0.03,0.0,0,1,1.0,0,54501.609347,61.53861757999839,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
