trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,16.747782399877906,17.24890280002728,16.747782399877906,17.768071699887514,17.24890280002728,17.74975229986012,17.74975229986012,18.901116799796,0.0,-507641.37433,15.720557460468262,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
1,0,1,0,None,None,None,None,19.917155399918556,20.420319200027734,19.917155399918556,20.93742710002698,20.420319200027734,20.92028129985556,20.92028129985556,22.07206579996273,0.0,-507638.179377,18.91800371981226,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
2,0,2,0,None,None,None,None,23.087951199850067,23.589025699999183,23.087951199850067,24.10736449994147,23.589025699999183,24.08932529995218,24.08932529995218,25.25694529991597,0.0,-507635.00913,22.088952719978987,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
3,0,3,0,None,None,None,None,26.273372699972242,26.77618609997444,26.273372699972242,27.293436599895358,26.77618609997444,27.276339799864218,27.276339799864218,28.443899999838322,0.0,-507631.82425,25.273832219932228,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
4,0,4,0,None,None,None,None,29.46040949993767,29.963328699814156,29.46040949993767,30.480804599821568,29.963328699814156,30.463247299892828,30.463247299892828,31.63095649983734,1.0,-507628.637307,28.46078691985458,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
5,0,5,0,None,None,None,None,32.64756409986876,33.15031779999845,32.64756409986876,33.68424089998007,33.15031779999845,33.66650529997423,33.66650529997423,34.81711940001696,1.0,-507625.449707,31.647843419853597,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
6,0,6,0,None,None,None,None,35.83162939990871,36.336325799813494,35.83162939990871,36.85215619998053,36.336325799813494,36.8369966999162,36.8369966999162,37.98666609986685,1.0,-507622.264192,34.834006320033225,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
7,0,7,0,None,None,None,None,39.00770840002224,39.505241699982435,39.00770840002224,40.02378379995935,39.505241699982435,40.0051581999287,40.0051581999287,41.17277619987726,1.0,-507619.090829,38.003553019883114,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
8,0,8,0,None,None,None,None,42.19097419991158,42.69160449993797,42.19097419991158,43.210492899874225,42.69160449993797,43.19218899984844,43.19218899984844,44.359612399945036,0.0,-507615.90678,41.189663119893524,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
9,0,9,0,None,None,None,None,45.37682509981096,45.878265499835834,45.37682509981096,46.39653649996035,45.878265499835834,46.37906929990277,46.37906929990277,47.53071049996652,0.0,-507612.721209,44.3764993199613,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
10,0,10,0,None,None,None,None,48.54681359999813,49.04717839998193,48.54681359999813,49.5653968998231,49.04717839998193,49.547989499988034,49.547989499988034,50.71571999997832,0.0,-507609.550124,47.54759741998278,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
11,0,11,0,None,None,None,None,51.731621199985966,52.23439729982056,51.731621199985966,52.75129959988408,52.23439729982056,52.734615499852225,52.734615499852225,53.88637760002166,0.0,-507606.364882,50.73260691999458,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
12,0,12,0,None,None,None,None,54.9026955999434,55.4060928998515,54.9026955999434,55.93751149997115,55.4060928998515,55.923936599865556,55.923936599865556,57.07223009993322,1.0,-507603.194913,53.90326452003792,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
13,0,13,0,None,None,None,None,58.08719629980624,58.59051759983413,58.08719629980624,59.10755279986188,58.59051759983413,59.090849299915135,59.090849299915135,60.24190339981578,1.0,-507600.009178,57.089117019949484,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
14,0,14,0,None,None,None,None,61.258972899988294,61.76033889991231,61.258972899988294,62.27754249982536,61.76033889991231,62.26197989983484,62.26197989983484,63.41186079988256,0.0,-507596.83864,60.258790319832045,,90,1,0,30,1,2021_Feb_25_1140,testDotsStepRampPilot,2020.2.5,59.68235853670482,
