trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,9.59580189999997,10.099077899999997,9.59580189999997,10.616267099999959,10.099077899999997,10.599581299999954,10.599581299999954,11.784078199999954,0.0,-1,8.580861249999828,,90,1,0,30,0,2021_Feb_25_1415,testDotsStepRampPilot,2020.2.5,59.94287444067278,
1,0,1,0,None,None,None,None,12.793227699999989,13.302274300000022,12.793227699999989,13.81946419999997,13.302274300000022,13.80278409999994,13.80278409999994,14.987290099999996,1.0,-1,11.800760729999945,,90,1,0,30,0,2021_Feb_25_1415,testDotsStepRampPilot,2020.2.5,59.94287444067278,
2,0,2,0,None,None,None,None,15.996988199999919,16.50548379999998,15.996988199999919,17.02270390000001,16.50548379999998,17.005954499999916,17.005954499999916,18.19048579999992,1.0,-1,15.003972629999987,,90,1,0,30,0,2021_Feb_25_1415,testDotsStepRampPilot,2020.2.5,59.94287444067278,
3,0,3,0,None,None,None,None,19.198719499999925,19.708691899999963,19.198719499999925,20.225874699999963,19.708691899999963,20.209190899999953,20.209190899999953,21.39369149999993,1.0,-1,18.20716832999991,,90,1,0,30,0,2021_Feb_25_1415,testDotsStepRampPilot,2020.2.5,59.94287444067278,
4,0,4,0,None,None,None,None,22.40225190000001,22.911854999999946,22.40225190000001,23.429086499999926,22.911854999999946,23.41240199999993,23.41240199999993,24.596910799999932,0.0,-1,21.41037402999992,,90,1,0,30,0,2021_Feb_25_1415,testDotsStepRampPilot,2020.2.5,59.94287444067278,
5,0,5,0,None,None,None,None,25.605037100000004,26.115094099999965,25.605037100000004,26.632288399999993,26.115094099999965,26.615653299999963,26.615653299999963,27.80010440000001,1.0,-1,24.613593329999922,,90,1,0,30,0,2021_Feb_25_1415,testDotsStepRampPilot,2020.2.5,59.94287444067278,
6,0,6,0,None,None,None,None,28.808244999999943,29.318304300000023,28.808244999999943,29.8355229,29.318304300000023,29.818806199999926,29.818806199999926,31.00330859999997,0.0,-1,27.81678693,,90,1,0,30,0,2021_Feb_25_1415,testDotsStepRampPilot,2020.2.5,59.94287444067278,
7,0,7,0,None,None,None,None,32.01253459999998,32.52150110000002,32.01253459999998,33.038665299999934,32.52150110000002,33.02200570000002,33.02200570000002,34.20676979999996,0.0,-1,31.01999112999996,,90,1,0,30,0,2021_Feb_25_1415,testDotsStepRampPilot,2020.2.5,59.94287444067278,
8,0,8,0,None,None,None,None,35.21570150000002,35.72472189999996,35.21570150000002,36.24190229999999,35.72472189999996,36.22522500000002,36.22522500000002,37.409718399999974,1.0,-1,34.22345232999995,,90,1,0,30,0,2021_Feb_25_1415,testDotsStepRampPilot,2020.2.5,59.94287444067278,
9,0,9,0,None,None,None,None,38.418927199999985,38.92790739999998,38.418927199999985,39.445097199999964,38.92790739999998,39.42842669999993,39.42842669999993,40.61292359999993,0.0,-1,37.426400929999964,,90,1,0,30,0,2021_Feb_25_1415,testDotsStepRampPilot,2020.2.5,59.94287444067278,
