trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,response,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,11.156630400000722,12.161224099996616,12.161224099996616,12.461122199994861,12.161224099996616,12.461122199994861,11.156630400000722,13.478577199995925,12.461122199994861,13.462190300000657,13.462190300000657,14.61328340000182,right,0.42068879999715136,14.61328340000182,None,1.0,0.0,0,1,0.0,1,-1,10.12498802000191,,90,1,1,30,0,2021_Feb_10_1450,testDots,2020.2.5,59.96782126729693,
1,0,1,0,None,None,None,None,16.085961299999326,17.09859359999973,17.09859359999973,17.399724099996092,17.09859359999973,17.399724099996092,16.085961299999326,18.416717100000824,17.399724099996092,18.40091759999632,18.40091759999632,19.55122329999722,left,0.5303808000026038,19.55122329999722,None,0.95,180.0,180,1,0.0,0,-1,15.080444579997856,,90,1,1,30,0,2021_Feb_10_1450,testDots,2020.2.5,59.96782126729693,
2,0,2,0,None,None,None,None,21.122036000000662,22.137078299994755,22.137078299994755,22.43773539999529,22.137078299994755,22.43773539999529,21.122036000000662,23.455907299998216,22.43773539999529,23.43853669999953,23.43853669999953,24.589428399995086,right,0.28421179999713786,24.589428399995086,None,0.9,0.0,0,1,0.0,1,-1,20.11816498000117,,90,1,1,30,0,2021_Feb_10_1450,testDots,2020.2.5,59.96782126729693,
3,0,3,0,None,None,None,None,25.910522799997125,26.92530199999601,26.92530199999601,27.22585679999611,26.92530199999601,27.22585679999611,25.910522799997125,28.243163899998763,27.22585679999611,28.22665579999739,28.22665579999739,29.37773429999652,right,0.41610209999635117,29.37773429999652,None,0.85,0.0,0,1,1.0,0,-1,24.906461779998793,,90,1,1,30,0,2021_Feb_10_1450,testDots,2020.2.5,59.96782126729693,
4,0,4,0,None,None,None,None,30.833705500001088,31.84665149999637,31.84665149999637,32.147003300000506,31.84665149999637,32.147003300000506,30.833705500001088,33.16470049999771,32.147003300000506,33.14837689999695,33.14837689999695,34.299192099999345,right,0.438770900000236,34.299192099999345,None,0.8,0.0,0,1,0.0,1,-1,29.829231480001184,,90,1,1,30,0,2021_Feb_10_1450,testDots,2020.2.5,59.96782126729693,
5,0,5,0,None,None,None,None,35.78662890000123,36.80216970000038,36.80216970000038,37.102376099996036,36.80216970000038,37.102376099996036,35.78662890000123,38.119763599999715,37.102376099996036,38.10370709999552,38.10370709999552,39.25436449999688,left,0.33127280000189785,39.25436449999688,None,0.48,180.0,180,1,1.0,1,-1,34.783744479998134,,90,1,1,30,0,2021_Feb_10_1450,testDots,2020.2.5,59.96782126729693,
6,0,6,0,None,None,None,None,40.62404189999506,41.62470039999607,41.62470039999607,41.940260299998045,41.62470039999607,41.940260299998045,40.62404189999506,42.95895860000019,41.940260299998045,42.9412297999952,42.9412297999952,44.09235220000119,left,0.3655378000039491,44.09235220000119,None,0.24,180.0,180,1,1.0,1,-1,39.62146877999767,,90,1,1,30,0,2021_Feb_10_1450,testDots,2020.2.5,59.96782126729693,
7,0,7,0,None,None,None,None,45.49688929999684,46.51272649999737,46.51272649999737,46.82853500000056,46.51272649999737,46.82853500000056,45.49688929999684,47.84605690000171,46.82853500000056,47.82937849999871,47.82937849999871,48.98062940000091,right,0.46900040000036824,48.98062940000091,None,0.12,0.0,0,1,1.0,0,-1,44.49290537999623,,90,1,1,30,0,2021_Feb_10_1450,testDots,2020.2.5,59.96782126729693,
8,0,8,0,None,None,None,None,50.50392679999641,51.51642179999908,51.51642179999908,51.816858699996374,51.51642179999908,51.816858699996374,50.50392679999641,52.83456319999823,51.816858699996374,52.81814160000067,52.81814160000067,53.9688771000001,right,0.28905130000202917,53.9688771000001,None,0.06,0.0,0,1,0.0,1,-1,49.49921938000189,,90,1,1,30,0,2021_Feb_10_1450,testDots,2020.2.5,59.96782126729693,
9,0,9,0,None,None,None,None,55.305158299997856,56.30452729999524,56.30452729999524,56.6049079000004,56.30452729999524,56.6049079000004,55.305158299997856,57.62270390000049,56.6049079000004,57.606840399996145,57.606840399996145,58.75698320000083,right,0.3182228000005125,58.75698320000083,None,0.03,0.0,0,1,0.0,1,-1,54.302637680000046,,90,1,1,30,0,2021_Feb_10_1450,testDots,2020.2.5,59.96782126729693,
