trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,27.694967800052837,28.195429400075227,27.694967800052837,28.713857700116932,28.195429400075227,28.69608010002412,28.69608010002412,29.880336300004274,1.0,-502825.389246,26.662453080061823,aly_18,90,1,0,34,1,2021_Feb_25_1300,testDotsStepRampPilot,2020.2.5,60.01431942783838,
1,0,1,0,None,None,None,None,30.898813500069082,31.400193799985573,30.898813500069082,31.9335551999975,31.400193799985573,31.916613399982452,31.916613399982452,33.10146060003899,0.0,-502822.161598,29.89707422000356,aly_18,90,1,0,34,1,2021_Feb_25_1300,testDotsStepRampPilot,2020.2.5,60.01431942783838,
2,0,2,0,None,None,None,None,34.12001210008748,34.63572020013817,34.12001210008748,35.15360750001855,34.63572020013817,35.13569950009696,35.13569950009696,36.32218850008212,1.0,-502818.940563,33.11819852003828,aly_18,90,1,0,34,1,2021_Feb_25_1300,testDotsStepRampPilot,2020.2.5,60.01431942783838,
3,0,3,0,None,None,None,None,37.33947860007174,37.85609999997541,37.33947860007174,38.3745139001403,37.85609999997541,38.35648890002631,38.35648890002631,39.54154739994556,0.0,-502815.720727,36.33892642008141,aly_18,90,1,0,34,1,2021_Feb_25_1300,testDotsStepRampPilot,2020.2.5,60.01431942783838,
4,0,4,0,None,None,None,None,40.55897430004552,41.05842739995569,40.55897430004552,41.57691740011796,41.05842739995569,41.56056470004842,41.56056470004842,42.74443960003555,0.0,-502812.500681,39.558285319944844,aly_18,90,1,0,34,1,2021_Feb_25_1300,testDotsStepRampPilot,2020.2.5,60.01431942783838,
5,0,5,0,None,None,None,None,43.76325080008246,44.278280599974096,43.76325080008246,44.79682569997385,44.278280599974096,44.77884109993465,44.77884109993465,45.96329510002397,1.0,-502809.297865,42.761177520034835,aly_18,90,1,0,34,1,2021_Feb_25_1300,testDotsStepRampPilot,2020.2.5,60.01431942783838,
6,0,6,0,None,None,None,None,46.98088810010813,47.482512700138614,46.98088810010813,48.0165911000222,47.482512700138614,47.99853630014695,47.99853630014695,49.18460609996691,1.0,-502806.079548,45.98003302002326,aly_18,90,1,0,34,1,2021_Feb_25_1300,testDotsStepRampPilot,2020.2.5,60.01431942783838,
7,0,7,0,None,None,None,None,50.20302399992943,50.70261489995755,50.20302399992943,51.21844540000893,50.70261489995755,51.20322210015729,51.20322210015729,52.38545519998297,1.0,-502802.858065,49.2013440199662,aly_18,90,1,0,34,1,2021_Feb_25_1300,testDotsStepRampPilot,2020.2.5,60.01431942783838,
8,0,8,0,None,None,None,None,53.40192690002732,53.90546249994077,53.40192690002732,54.423179800156504,53.90546249994077,54.404995100107044,54.404995100107044,55.59054989996366,0.0,-502799.657116,52.40219311998226,aly_18,90,1,0,34,1,2021_Feb_25_1300,testDotsStepRampPilot,2020.2.5,60.01431942783838,
9,0,9,0,None,None,None,None,56.60779740009457,57.10907120001502,56.60779740009457,57.62547850003466,57.10907120001502,57.61139179999009,57.61139179999009,58.79153469996527,0.0,-502796.451818,55.60728781996295,aly_18,90,1,0,34,1,2021_Feb_25_1300,testDotsStepRampPilot,2020.2.5,60.01431942783838,
