trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,40.814050200162455,41.31861740001477,40.814050200162455,41.837593500036746,41.31861740001477,41.81913359998725,41.81913359998725,42.97159980004653,1.0,-503969.204033,39.78483356676685,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
1,0,1,0,None,None,None,None,43.988250700058416,44.491346300113946,43.988250700058416,45.023685900028795,44.491346300113946,45.0067018000409,45.0067018000409,46.17355479998514,1.0,-503966.004372,42.9882664667132,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
2,0,2,0,None,None,None,None,47.19266499998048,47.69252540008165,47.19266499998048,48.21151640010066,47.69252540008165,48.1929436000064,48.1929436000064,49.36043070000596,1.0,-503962.802215,46.190221466651806,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
3,0,3,0,None,None,None,None,50.37893720017746,50.87877500010654,50.37893720017746,51.398376600118354,50.87877500010654,51.379237400135025,51.379237400135025,52.54592020018026,0.0,-503959.615967,49.37709736667263,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
4,0,4,0,None,None,None,None,53.56320970016532,54.06655520014465,53.56320970016532,54.58306630002335,54.06655520014465,54.56629340001382,54.56629340001382,55.73386030015536,0.0,-503956.430059,52.56258686684693,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
5,0,5,0,None,None,None,None,56.751619700109586,57.25260550016537,56.751619700109586,57.7871099000331,57.25260550016537,57.76872930000536,57.76872930000536,58.92083459999412,1.0,-503953.242419,55.75052696682202,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
6,0,6,0,None,None,None,None,59.93790170014836,60.439393300097436,59.93790170014836,60.97353189997375,60.439393300097436,60.955407300032675,60.955407300032675,62.12193540018052,0.0,-503950.055858,58.93750126666079,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
7,0,7,0,None,None,None,None,63.141402299981564,63.64171580015682,63.141402299981564,64.15937480004504,63.64171580015682,64.14141250005923,64.14141250005923,65.3090860999655,0.0,-503946.853413,62.138602066847184,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
8,0,8,0,None,None,None,None,66.32815299998038,66.83028220012784,66.32815299998038,67.34667120012455,66.83028220012784,67.32893750001676,67.32893750001676,68.49595820019022,1.0,-503943.666891,65.32575276663216,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
9,0,9,0,None,None,None,None,69.51479030004703,70.01313570002094,69.51479030004703,70.5331154000014,70.01313570002094,70.5153966001235,70.5153966001235,71.66774050006643,1.0,-503940.480272,68.51262486685688,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
10,0,10,0,None,None,None,None,72.68520399997942,73.18344589998014,72.68520399997942,73.70226070005447,73.18344589998014,73.6837557000108,73.6837557000108,74.8367978001479,0.0,-503937.308746,71.6844071667331,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
11,0,11,0,None,None,None,None,75.85436250013299,76.35544369998388,75.85436250013299,76.88926109997556,76.35544369998388,76.87014440004714,76.87014440004714,78.02196520008147,0.0,-503934.140051,74.85346446681457,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
12,0,12,0,None,None,None,None,79.03993359999731,79.54195550014265,79.03993359999731,80.07535289996304,79.54195550014265,80.05851520015858,80.05851520015858,81.22566800005734,1.0,-503930.954561,78.03863186674813,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
13,0,13,0,None,None,None,None,82.24259180016816,82.74442490004003,82.24259180016816,83.26228280016221,82.74442490004003,83.24329640017822,83.24329640017822,84.41175710014068,1.0,-503927.751016,81.242334666724,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
14,0,14,0,None,None,None,None,85.42850890010595,85.93010330013931,85.42850890010595,86.4489844001364,85.93010330013931,86.4308611000888,86.4308611000888,87.58277610014193,0.0,-503924.564281,84.42842376680734,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
15,0,15,0,None,None,None,None,88.59859840013087,89.09940610011108,88.59859840013087,89.61826130002737,89.09940610011108,89.60168040008284,89.60168040008284,90.75202620006166,0.0,-503921.39418,87.5994427668086,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
16,0,16,0,None,None,None,None,91.76997060002759,92.27129569998942,91.76997060002759,92.80487340013497,92.27129569998942,92.78665440017357,92.78665440017357,93.93893259996548,1.0,-503918.224096,90.76869286672833,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
17,0,17,0,None,None,None,None,94.95717300008982,95.45776640018448,94.95717300008982,95.99125299998559,95.45776640018448,95.97313970001414,95.97313970001414,97.14043710008264,0.0,-503915.037122,93.95559926663215,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
18,0,18,0,None,None,None,None,98.1590466001071,98.6598163000308,98.1590466001071,99.17836920008995,98.6598163000308,99.16063380008563,99.16063380008563,100.32771009998396,1.0,-503911.835353,97.1571037667493,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
19,0,19,0,None,None,None,None,101.34446860011667,101.84665900003165,101.34446860011667,102.3643814001698,101.84665900003165,102.34702200000174,102.34702200000174,103.51475460012443,0.0,-503908.649053,100.34437676665063,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
20,0,20,0,None,None,None,None,104.53236730000935,105.0322024000343,104.53236730000935,105.5512030001264,105.0322024000343,105.53383800014853,105.53383800014853,106.68599470006302,0.0,-503905.462032,103.5314212667911,aly_current_final,90,1,0,34,1,2021_Feb_25_1241,testDotsStepRampPilot,2020.2.5,60.01006966856068,
