trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,93.31764769996516,93.83120090002194,93.31764769996516,94.34700060007162,93.83120090002194,94.33234650013037,94.33234650013037,95.48342350008897,1.0,-504089.201006,92.2798406500835,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
1,0,1,0,None,None,None,None,96.50195790012367,97.00098690018058,96.50195790012367,97.51903730002232,97.00098690018058,97.49966730014421,97.49966730014421,98.65142470016144,0.0,-504085.990227,95.50010265009477,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
2,0,2,0,None,None,None,None,99.66842120001093,100.17231840011664,99.66842120001093,100.70548660005443,100.17231840011664,100.68721290002577,100.68721290002577,101.83950800006278,0.0,-504082.822706,98.66810385016724,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
3,0,3,0,None,None,None,None,102.85549910017289,103.35759380017407,102.85549910017289,103.89266780018806,103.35759380017407,103.87415970000438,103.87415970000438,105.02579670003615,1.0,-504079.635192,101.85618715006858,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
4,0,4,0,None,None,None,None,106.04283550009131,106.54435000009835,106.04283550009131,107.06062680017203,106.54435000009835,107.04497010004707,107.04497010004707,108.19433990004472,1.0,-504076.448481,105.04247585004195,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
5,0,5,0,None,None,None,None,109.21261629997753,109.71444050013088,109.21261629997753,110.2297084000893,109.71444050013088,110.21388150006533,110.21388150006533,111.36568709998392,1.0,-504073.280001,108.21101905005052,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
6,0,6,0,None,None,None,None,112.38460260001011,112.88234190014191,112.38460260001011,113.40084830019623,112.88234190014191,113.38279750011861,113.38279750011861,114.5351087001618,1.0,-504070.106451,111.38236624998972,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
7,0,7,0,None,None,None,None,115.55418870016001,116.06964860018343,115.55418870016001,116.58796330005862,116.06964860018343,116.5694234999828,116.5694234999828,117.72115830006078,0.0,-504066.938975,114.5517878501676,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
8,0,8,0,None,None,None,None,118.7404891999904,119.24051010003313,118.7404891999904,119.75599700002931,119.24051010003313,119.74069620016962,119.74069620016962,120.89099830016494,1.0,-504063.753135,117.73783745006658,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
9,0,9,0,None,None,None,None,121.90738880005665,122.41031250008382,121.90738880005665,122.92707710014656,122.41031250008382,122.90920100011863,122.90920100011863,124.06210500001907,1.0,-504060.583335,120.90767745017074,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
10,0,10,0,None,None,None,None,125.07694709999487,125.57850950001739,125.07694709999487,126.09582260018215,125.57850950001739,126.08121810015291,126.08121810015291,127.23060340015218,0.0,-504057.412998,124.07878415002487,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
11,0,11,0,None,None,None,None,128.24932930013165,128.76467170007527,128.24932930013165,129.28385210013948,128.76467170007527,129.2655953001231,129.2655953001231,130.41649130010046,1.0,-504054.243579,127.24728255015798,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
12,0,12,0,None,None,None,None,131.43416920001619,131.93610440008342,131.43416920001619,132.4519331001211,131.93610440008342,132.43659180006944,132.43659180006944,133.586385600036,0.0,-504051.057727,130.43317045010627,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
13,0,13,0,None,None,None,None,134.60535149998032,135.10591480019502,134.60535149998032,135.62312910007313,135.10591480019502,135.60575590003282,135.60575590003282,136.77295560017228,1.0,-504047.887708,133.60306475004182,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
14,0,14,0,None,None,None,None,137.7918767000083,138.29187740013003,137.7918767000083,138.8097492000088,138.29187740013003,138.79314379999414,138.79314379999414,139.95966940000653,1.0,-504044.701892,136.7896347501781,aly_current,90,1,0,34,1,2021_Feb_25_1239,testDotsStepRampPilot,2020.2.5,60.07330148310753,
