trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,31.92761359992437,32.430920799961314,31.92761359992437,32.946203199913725,32.430920799961314,32.93068389990367,32.93068389990367,34.04866709979251,0.0,-503320.084362,30.893475366492446,aly_new,90,1,0,34,1,2021_Feb_25_1252,testDotsStepRampPilot,2020.2.5,60.08275801952466,
1,0,1,0,None,None,None,None,35.06599229993299,35.56584379984997,35.06599229993299,36.08399019995704,35.56584379984997,36.06659559998661,36.06659559998661,37.184919300023466,1.0,-503316.922083,34.065333766459176,aly_new,90,1,0,34,1,2021_Feb_25_1252,testDotsStepRampPilot,2020.2.5,60.08275801952466,
2,0,2,0,None,None,None,None,38.20189949986525,38.70177869987674,38.20189949986525,39.219912299886346,38.70177869987674,39.20384069997817,39.20384069997817,40.32110379985534,0.0,-503313.785757,37.20158596669013,aly_new,90,1,0,34,1,2021_Feb_25_1252,testDotsStepRampPilot,2020.2.5,60.08275801952466,
3,0,3,0,None,None,None,None,41.33762879995629,41.839701500022784,41.33762879995629,42.372345899930224,41.839701500022784,42.35744009981863,42.35744009981863,43.47456129989587,1.0,-503310.650171,40.337770466522,aly_new,90,1,0,34,1,2021_Feb_25_1252,testDotsStepRampPilot,2020.2.5,60.08275801952466,
4,0,4,0,None,None,None,None,44.492832500021905,45.00818909984082,44.492832500021905,45.527123800013214,45.00818909984082,45.508329699980095,45.508329699980095,46.62854279996827,1.0,-503307.496653,43.49122796656253,aly_new,90,1,0,34,1,2021_Feb_25_1252,testDotsStepRampPilot,2020.2.5,60.08275801952466,
5,0,5,0,None,None,None,None,47.646644399967045,48.162119899876416,47.646644399967045,48.67996029998176,48.162119899876416,48.66193960001692,48.66193960001692,49.78125449991785,0.0,-503304.341941,46.64520946663494,aly_new,90,1,0,34,1,2021_Feb_25_1252,testDotsStepRampPilot,2020.2.5,60.08275801952466,
6,0,6,0,None,None,None,None,50.79690769989975,51.299103799974546,50.79690769989975,51.8331575000193,51.299103799974546,51.81608399981633,51.81608399981633,52.93468949990347,1.0,-503301.190186,49.797921166584516,aly_new,90,1,0,34,1,2021_Feb_25_1252,testDotsStepRampPilot,2020.2.5,60.08275801952466,
7,0,7,0,None,None,None,None,53.949824299896136,54.45249959989451,53.949824299896136,54.969145899871364,54.45249959989451,54.95319119980559,54.95319119980559,56.06983649986796,1.0,-503298.03686,52.951356166570136,aly_new,90,1,0,34,1,2021_Feb_25_1252,testDotsStepRampPilot,2020.2.5,60.08275801952466,
8,0,8,0,None,None,None,None,57.087223399896175,57.58888169983402,57.087223399896175,58.105862399796024,57.58888169983402,58.08939869981259,58.08939869981259,59.207023199880496,1.0,-503294.900939,56.08650316653463,aly_new,90,1,0,34,1,2021_Feb_25_1252,testDotsStepRampPilot,2020.2.5,60.08275801952466,
9,0,9,0,None,None,None,None,60.2217105999589,60.72413169988431,60.2217105999589,61.24178139981814,60.72413169988431,61.22486009984277,61.22486009984277,62.34485509991646,1.0,-503291.76459,59.22368986654716,aly_new,90,1,0,34,1,2021_Feb_25_1252,testDotsStepRampPilot,2020.2.5,60.08275801952466,
