trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,response,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,40.16389729999355,41.17774490000011,41.17774490000011,41.47801499999332,41.17774490000011,41.47801499999332,40.16389729999355,42.49721909999789,41.47801499999332,42.480380199995125,42.480380199995125,43.6307497999951,right,0.5227307999957702,43.6307497999951,None,0.06,180.0,0,0,1.0,1,53629.828847,39.12804031999258,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
1,0,1,0,None,None,None,None,45.20695739999792,46.21823549999681,46.21823549999681,46.53356679999706,46.21823549999681,46.53356679999706,45.20695739999792,47.55229409999447,46.53356679999706,47.53568789999554,47.53568789999554,48.686662799998885,right,0.48380139999790117,48.686662799998885,None,0.48,0.0,0,1,1.0,0,53634.897791,44.19846875999792,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
2,0,2,0,None,None,None,None,50.2088608999984,51.22199600000022,51.22199600000022,51.52249419999862,51.22199600000022,51.52249419999862,50.2088608999984,52.53972039999644,51.52249419999862,52.52368579999893,52.52368579999893,53.67336989999603,left,0.5040712999980315,53.67336989999603,None,0.12,0.0,180,0,1.0,0,53639.899784,49.2038608599978,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
3,0,3,0,None,None,None,None,55.231312299998535,56.2441805999988,56.2441805999988,56.544590999998036,56.2441805999988,56.544590999998036,55.231312299998535,57.56098409999686,56.544590999998036,57.546697799996764,57.546697799996764,58.69652869999845,left,0.7291803999978583,58.69652869999845,None,0.03,180.0,180,1,0.0,0,53644.921994,54.2255567599932,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
4,0,4,0,None,None,None,None,60.468582999994396,61.48196109999844,61.48196109999844,61.7833102999939,61.48196109999844,61.7833102999939,60.468582999994396,62.80129509999824,61.7833102999939,62.784131999993406,62.784131999993406,63.93484299999545,left,0.35483689999819035,63.93484299999545,None,0.24,0.0,180,0,1.0,0,53650.159625,59.46403555999859,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
5,0,5,0,None,None,None,None,65.33810859999357,66.33752939999977,66.33752939999977,66.63845919999585,66.33752939999977,66.63845919999585,65.33810859999357,67.65531259999989,66.63845919999585,67.6387942999936,67.6387942999936,68.78856619999715,left,0.4053217999971821,68.78856619999715,None,0.24,180.0,180,1,0.0,0,53655.029371,64.3343808599966,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
6,0,6,0,None,None,None,None,70.24437249999755,71.2586805999963,71.2586805999963,71.55939319999743,71.2586805999963,71.55939319999743,70.24437249999755,72.57592969999678,71.55939319999743,72.56018719999702,72.56018719999702,73.71121080000012,right,0.39466680000623455,73.71121080000012,None,0.03,0.0,0,1,0.0,1,53659.935576,69.23984545999701,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
7,0,7,0,None,None,None,None,75.15047829999821,76.16313469999295,76.16313469999295,76.462981699995,76.16313469999295,76.462981699995,75.15047829999821,77.48128649999853,76.462981699995,77.46446199999627,77.46446199999627,78.6152046999996,left,0.4585323999999673,78.6152046999996,None,0.12,0.0,180,0,1.0,0,53664.841325,74.14555455999653,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
8,0,8,0,None,None,None,None,80.12226419999934,81.1356794999956,81.1356794999956,81.43601059999492,81.1356794999956,81.43601059999492,80.12226419999934,82.45405909999681,81.43601059999492,82.4360555999956,82.4360555999956,83.58780469999328,right,0.3900108000016189,83.58780469999328,None,0.06,180.0,0,0,0.0,0,53669.812775,79.11669525999605,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
9,0,9,0,None,None,None,None,85.0268894999972,86.04029819999414,86.04029819999414,86.34100899999612,86.04029819999414,86.34100899999612,85.0268894999972,87.35823299999902,86.34100899999612,87.34183709999343,87.34183709999343,88.49222149999696,left,0.5253251000031014,88.49222149999696,None,0.48,180.0,180,1,0.0,0,53674.718168,84.02184015999228,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
10,0,10,0,None,None,None,None,90.06530469999416,91.07844659999682,91.07844659999682,91.37895279999793,91.07844659999682,91.37895279999793,90.06530469999416,92.396980599995,91.37895279999793,92.37942539999494,92.37942539999494,93.53073849999782,left,0.6068037000004551,93.53073849999782,None,0.24,0.0,180,0,0.0,1,53679.755861,89.06016965999879,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
11,0,11,0,None,None,None,None,95.18678499999805,96.19961279999552,96.19961279999552,96.5004134999981,96.19961279999552,96.5004134999981,95.18678499999805,97.51859989999502,96.5004134999981,97.5022955999957,97.5022955999957,98.65222019999783,left,0.6055173000058858,98.65222019999783,None,0.06,180.0,180,1,1.0,1,53684.877951,94.18181515999458,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
12,0,12,0,None,None,None,None,100.30993479999597,101.32247759999882,101.32247759999882,101.6227832999939,101.32247759999882,101.6227832999939,100.30993479999597,102.6392973999973,101.6227832999939,102.6238513999997,102.6238513999997,103.77339519999805,right,0.5401783999986947,103.77339519999805,None,0.48,0.0,0,1,1.0,0,53690.000032,99.30384585999855,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
13,0,13,0,None,None,None,None,105.36402899999666,106.37840149999829,106.37840149999829,106.6783346999946,106.37840149999829,106.6783346999946,105.36402899999666,107.69401919999655,106.6783346999946,107.67879139999422,107.67879139999422,108.82996529999946,right,0.4196516000010888,108.82996529999946,None,0.03,0.0,0,1,1.0,0,53695.055791,104.35941845999332,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
14,0,14,0,None,None,None,None,110.30194179999671,111.3147536999968,111.3147536999968,111.61483709999447,111.3147536999968,111.61483709999447,110.30194179999671,112.6347742999933,111.61483709999447,112.61611219999759,112.61611219999759,113.7679702999958,left,0.618722399995022,113.7679702999958,None,0.12,180.0,180,1,0.0,0,53699.992931,109.29717285999504,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
15,0,15,0,None,None,None,None,115.42521829999896,116.43643719999818,116.43643719999818,116.73789429999306,116.43643719999818,116.73789429999306,115.42521829999896,117.75442699999985,116.73789429999306,117.73879769999621,117.73879769999621,118.88904999999795,left,0.5046329999968293,118.88904999999795,None,0.06,0.0,180,0,0.0,1,53705.116476,114.41968935999466,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
16,0,16,0,None,None,None,None,120.44427559999895,121.45942719999584,121.45942719999584,121.75967919999675,121.45942719999584,121.75967919999675,120.44427559999895,122.77591939999547,121.75967919999675,122.76015299999563,122.76015299999563,123.91071499999816,left,0.3387166000029538,123.91071499999816,None,0.24,180.0,180,1,0.0,0,53710.13584,119.44012025999837,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
17,0,17,0,None,None,None,None,125.30135399999563,126.3141639999958,126.3141639999958,126.6143876999995,126.3141639999958,126.6143876999995,125.30135399999563,127.6308590999979,126.6143876999995,127.61521509999875,127.61521509999875,128.76615109999693,left,0.635360899999796,128.76615109999693,None,0.12,0.0,180,0,0.0,1,53714.990262,124.29438305999793,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
18,0,18,0,None,None,None,None,130.43872599999304,131.4515947999971,131.4515947999971,131.75208649999695,131.4515947999971,131.75208649999695,130.43872599999304,132.77059069999814,131.75208649999695,132.7539345999976,132.7539345999976,133.90422709999984,right,0.4341072000024724,133.90422709999984,None,0.48,0.0,0,1,1.0,0,53720.129615,129.43391315999907,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
19,0,19,0,None,None,None,None,135.37671269999555,136.3905889999951,136.3905889999951,136.69011539999337,136.3905889999951,136.69011539999337,135.37671269999555,137.70906839999952,136.69011539999337,137.6915943999993,137.6915943999993,138.8425186999957,left,0.4953996000040206,138.8425186999957,None,0.03,180.0,180,1,0.0,0,53725.067443,134.37203895999846,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
20,0,20,0,None,None,None,None,140.38123229999474,141.39588179999555,141.39588179999555,141.69626449999487,141.39588179999555,141.69626449999487,140.38123229999474,142.71325629999774,141.69626449999487,142.69744149999315,142.69744149999315,143.84726589999627,left,0.4024885000035283,143.84726589999627,None,0.24,180.0,180,1,0.0,0,53730.072375,139.37740165999276,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
21,0,21,0,None,None,None,None,145.28749579999567,146.2998907999936,146.2998907999936,146.6010679999963,146.2998907999936,146.6010679999963,145.28749579999567,147.6174616999997,146.6010679999963,147.6016071999984,147.6016071999984,148.75293259999307,left,0.5765557999984594,148.75293259999307,None,0.12,0.0,180,0,1.0,0,53734.978194,144.28229415999522,ana,90,1,0,45,1,2021_Feb_10_1509,testDots,2020.2.5,60.994912413605164,
