trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,21.36628199997358,21.870140600018203,21.36628199997358,22.38643559999764,21.870140600018203,22.37002109992318,22.37002109992318,23.553771100006998,0.0,-504969.603258,20.33386035976,regan_18_final,90,1,0,34,1,2021_Feb_25_1224,testDotsStepRampPilot,2020.2.5,59.92951086095656,
1,0,1,0,None,None,None,None,24.57112139998935,25.072694799862802,24.57112139998935,25.590684699825943,25.072694799862802,25.57273369980976,25.57273369980976,26.757845799904317,1.0,-504966.373481,23.570447569992393,regan_18_final,90,1,0,34,1,2021_Feb_25_1224,testDotsStepRampPilot,2020.2.5,59.92951086095656,
2,0,2,0,None,None,None,None,27.773893599864095,28.2767925998196,27.773893599864095,28.793540599988773,28.2767925998196,28.776264999993145,28.776264999993145,29.96011869981885,0.0,-504963.16962,26.77452226988971,regan_18_final,90,1,0,34,1,2021_Feb_25_1224,testDotsStepRampPilot,2020.2.5,59.92951086095656,
3,0,3,0,None,None,None,None,30.977238199906424,31.48045689985156,30.977238199906424,32.01460270001553,31.48045689985156,31.998819299973547,31.998819299973547,33.18085589981638,0.0,-504959.968123,29.976795169804245,regan_18_final,90,1,0,34,1,2021_Feb_25_1224,testDotsStepRampPilot,2020.2.5,59.92951086095656,
4,0,4,0,None,None,None,None,34.19582789996639,34.70266539999284,34.19582789996639,35.219309699954465,34.70266539999284,35.201290800003335,35.201290800003335,36.385091099888086,0.0,-504956.747578,33.19753236980178,regan_18_final,90,1,0,34,1,2021_Feb_25_1224,testDotsStepRampPilot,2020.2.5,59.92951086095656,
5,0,5,0,None,None,None,None,37.40613879985176,37.920675799949095,37.40613879985176,38.435433599865064,37.920675799949095,38.421285199932754,38.421285199932754,39.60443459986709,1.0,-504953.538557,36.401767569873485,regan_18_final,90,1,0,34,1,2021_Feb_25_1224,testDotsStepRampPilot,2020.2.5,59.92951086095656,
6,0,6,0,None,None,None,None,40.62241449998692,41.12527800002135,40.62241449998692,41.658681999891996,41.12527800002135,41.63949440000579,41.63949440000579,42.82602949999273,1.0,-504950.323573,39.62111106985249,regan_18_final,90,1,0,34,1,2021_Feb_25_1224,testDotsStepRampPilot,2020.2.5,59.92951086095656,
7,0,7,0,None,None,None,None,43.84529919992201,44.34336719987914,43.84529919992201,44.86126159993,44.34336719987914,44.84541819989681,44.84541819989681,46.029267199803144,1.0,-504947.101928,42.84270596997813,regan_18_final,90,1,0,34,1,2021_Feb_25_1224,testDotsStepRampPilot,2020.2.5,59.92951086095656,
8,0,8,0,None,None,None,None,47.04820359987207,47.565443499945104,47.04820359987207,48.08246329985559,47.565443499945104,48.065400999970734,48.065400999970734,49.24997160001658,1.0,-504943.898423,46.04594366978854,regan_18_final,90,1,0,34,1,2021_Feb_25_1224,testDotsStepRampPilot,2020.2.5,59.92951086095656,
9,0,9,0,None,None,None,None,50.26610259991139,50.76568389986642,50.26610259991139,51.28266119980253,50.76568389986642,51.2684284998104,51.2684284998104,52.452708299970254,1.0,-504940.67819,49.26664807000198,regan_18_final,90,1,0,34,1,2021_Feb_25_1224,testDotsStepRampPilot,2020.2.5,59.92951086095656,
