trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,18.28076899982989,18.785213799914345,18.28076899982989,19.302232699934393,18.785213799914345,19.286490299971774,19.286490299971774,20.43718949984759,0.0,-506347.830896,17.24794814006891,regan_current_final,90,1,0,30,1,2021_Feb_25_1201,testDotsStepRampPilot,2020.2.5,60.06669800992746,
1,0,1,0,None,None,None,None,21.45322459982708,21.954254599986598,21.45322459982708,22.471235299948603,21.954254599986598,22.45586569979787,22.45586569979787,23.60740079986863,0.0,-506344.633288,20.453836359851994,regan_current_final,90,1,0,30,1,2021_Feb_25_1201,testDotsStepRampPilot,2020.2.5,60.06669800992746,
2,0,2,0,None,None,None,None,24.624474999960512,25.123696099966764,24.624474999960512,25.641006799880415,25.123696099966764,25.62536869989708,25.62536869989708,26.77631469978951,0.0,-506341.463094,23.624047659873032,regan_current_final,90,1,0,30,1,2021_Feb_25_1201,testDotsStepRampPilot,2020.2.5,60.06669800992746,
3,0,3,0,None,None,None,None,27.79474479984492,28.294243999989703,27.79474479984492,28.811910099815577,28.294243999989703,28.794135899981484,28.794135899981484,29.947262599831447,0.0,-506338.294584,26.792961559793913,regan_current_final,90,1,0,30,1,2021_Feb_25_1201,testDotsStepRampPilot,2020.2.5,60.06669800992746,
4,0,4,0,None,None,None,None,30.96399619989097,31.46439989982173,30.96399619989097,31.98054499994032,31.46439989982173,31.96392839984037,31.96392839984037,33.11535279988311,1.0,-506335.124188,29.96390945983585,regan_current_final,90,1,0,30,1,2021_Feb_25_1201,testDotsStepRampPilot,2020.2.5,60.06669800992746,
5,0,5,0,None,None,None,None,34.135380499996245,34.650983499828726,34.135380499996245,35.168331999797374,34.650983499828726,35.151388599770144,35.151388599770144,36.31935849995352,0.0,-506331.955063,33.13199965988751,regan_current_final,90,1,0,30,1,2021_Feb_25_1201,testDotsStepRampPilot,2020.2.5,60.06669800992746,
6,0,6,0,None,None,None,None,37.33677599998191,37.83748619980179,37.33677599998191,38.353970899945125,37.83748619980179,38.33803719980642,38.33803719980642,39.490138799883425,1.0,-506328.751258,36.33600535995792,regan_current_final,90,1,0,30,1,2021_Feb_25_1201,testDotsStepRampPilot,2020.2.5,60.06669800992746,
7,0,7,0,None,None,None,None,40.506592699792236,41.02337889978662,40.506592699792236,41.541120999958366,41.02337889978662,41.52487699990161,41.52487699990161,42.6756489998661,0.0,-506325.581275,39.506785659887825,regan_current_final,90,1,0,30,1,2021_Feb_25_1201,testDotsStepRampPilot,2020.2.5,60.06669800992746,
8,0,8,0,None,None,None,None,43.69263569987379,44.1939724998083,43.69263569987379,44.71152949985117,44.1939724998083,44.694096099818125,44.694096099818125,45.84436779981479,1.0,-506322.395237,42.6922958598705,regan_current_final,90,1,0,30,1,2021_Feb_25_1201,testDotsStepRampPilot,2020.2.5,60.06669800992746,
9,0,9,0,None,None,None,None,46.86454779980704,47.36238109995611,46.86454779980704,47.880583899794146,47.36238109995611,47.86329229990952,47.86329229990952,49.01536609977484,1.0,-506319.223685,45.86101465981919,regan_current_final,90,1,0,30,1,2021_Feb_25_1201,testDotsStepRampPilot,2020.2.5,60.06669800992746,
10,0,10,0,None,None,None,None,50.030597699806094,50.53335899999365,50.030597699806094,51.05041229980998,50.53335899999365,51.033014699816704,51.033014699816704,52.184468399966136,0.0,-506316.055348,49.03201295977924,regan_current_final,90,1,0,30,1,2021_Feb_25_1201,testDotsStepRampPilot,2020.2.5,60.06669800992746,
