trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,45.27808970003389,45.79487209999934,45.27808970003389,46.31019400013611,45.79487209999934,46.29470030008815,46.29470030008815,47.41076950007118,1.0,-505464.393625,44.24171119013335,regn_new_final,90,1,0,30,1,2021_Feb_25_1216,testDotsStepRampPilot,2020.2.5,None,
1,0,1,0,None,None,None,None,48.42699320008978,48.93116810009815,48.42699320008978,49.44780490011908,48.93116810009815,49.43029829999432,49.43029829999432,50.54961029998958,0.0,-505461.218526,47.427454310073514,regn_new_final,90,1,0,30,1,2021_Feb_25_1216,testDotsStepRampPilot,2020.2.5,None,
2,0,2,0,None,None,None,None,51.566240899963304,52.0655350999441,51.566240899963304,52.5845443001017,52.0655350999441,52.56704190000892,52.56704190000892,53.68446539994329,1.0,-505458.080029,50.56629510999191,regn_new_final,90,1,0,30,1,2021_Feb_25_1216,testDotsStepRampPilot,2020.2.5,None,
3,0,3,0,None,None,None,None,54.70060720015317,55.20365110016428,54.70060720015317,55.72095880005509,55.20365110016428,55.70558820012957,55.70558820012957,56.82234339998104,1.0,-505454.945093,53.701150209945624,regn_new_final,90,1,0,30,1,2021_Feb_25_1216,testDotsStepRampPilot,2020.2.5,None,
4,0,4,0,None,None,None,None,57.84048629994504,58.33900359994732,57.84048629994504,58.857419200008735,58.33900359994732,58.839247700059786,58.839247700059786,59.95852870005183,0.0,-505451.806389,56.83902820998337,regn_new_final,90,1,0,30,1,2021_Feb_25_1216,testDotsStepRampPilot,2020.2.5,None,
5,0,5,0,None,None,None,None,60.97410440002568,61.476035200059414,60.97410440002568,61.99368100007996,61.476035200059414,61.97741560009308,61.97741560009308,63.09311669995077,1.0,-505448.671295,59.97521351005416,regn_new_final,90,1,0,30,1,2021_Feb_25_1216,testDotsStepRampPilot,2020.2.5,None,
6,0,6,0,None,None,None,None,64.11055770004168,64.61259669996798,64.11055770004168,65.13099199999124,64.61259669996798,65.1138669999782,65.1138669999782,66.23228930006735,1.0,-505445.536371,63.1098015099531,regn_new_final,90,1,0,30,1,2021_Feb_25_1216,testDotsStepRampPilot,2020.2.5,None,
7,0,7,0,None,None,None,None,67.24925610003993,67.74949950003065,67.24925610003993,68.26519980002195,67.74949950003065,68.25047770002857,68.25047770002857,69.36663200007752,1.0,-505442.39807,66.24897411006968,regn_new_final,90,1,0,30,1,2021_Feb_25_1216,testDotsStepRampPilot,2020.2.5,None,
8,0,8,0,None,None,None,None,70.38115609996021,70.88616190012544,70.38115609996021,71.41994199994951,70.88616190012544,71.40257419995032,71.40257419995032,72.52021240000613,0.0,-505439.263769,69.38331681007985,regn_new_final,90,1,0,30,1,2021_Feb_25_1216,testDotsStepRampPilot,2020.2.5,None,
9,0,9,0,None,None,None,None,73.53627940011211,74.03909500013106,73.53627940011211,74.55465220008045,74.03909500013106,74.53967240010388,74.53967240010388,75.65614520013332,0.0,-505436.109757,72.53689721000846,regn_new_final,90,1,0,30,1,2021_Feb_25_1216,testDotsStepRampPilot,2020.2.5,None,
