trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,fixation2.started,fixation2.stopped,smooth_pursuit.started,smooth_pursuit.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,correct,pupil_timestamp,psychopy_timestamp,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,16.6548174,17.669349,17.61976562,17.934815,17.91985118,18.92287626,18.92287626,19.91745209,right,1.160977378,19.91745209,None,0.2,0,1,108624.1453,16.63269902,angel1,1,2020_Dec_03_1050,testDots,2020.2.5,60.23046416
1,0,1,0,21.11726619,22.11950319,22.10169859,22.40098275,22.40098275,23.40102617,23.40102617,24.40189664,left,1.004499661,24.40189664,None,0.15,0,0,108628.6186,21.10217284,angel1,1,2020_Dec_03_1050,testDots,2020.2.5,60.23046416
2,0,2,0,25.45878065,26.46999329,26.43576059,26.73981162,26.72011794,27.72175165,27.72175165,28.72392293,right,1.266506359,28.72392293,None,0.05,180,0,108632.961,25.44115752,angel1,1,2020_Dec_03_1050,testDots,2020.2.5,60.23046416
3,0,3,0,30.03597829,31.03762362,31.02038293,31.32420135,31.32420135,32.33625936,32.31962844,33.31955015,left,1.390868647,33.31955015,None,0.1,180,1,108637.5338,30.01897029,angel1,1,2020_Dec_03_1050,testDots,2020.2.5,60.23046416
4,0,4,0,34.75510029,35.7547036,35.73920727,36.03672727,36.03672727,37.03850038,37.03850038,38.03921799,right,1.775154563,38.03921799,None,0.5,180,0,108642.257,34.74130278,angel1,1,2020_Dec_03_1050,testDots,2020.2.5,60.23046416
5,0,5,0,39.85381165,40.85737786,40.84234702,41.15568361,41.14191687,42.15940577,42.13949558,43.13889636,left,1.123544793,43.13889636,None,0.15,0,0,108647.3576,39.84262793,angel1,1,2020_Dec_03_1050,testDots,2020.2.5,60.23046416
6,0,6,0,44.30472258,45.30815388,45.28809108,45.58819973,45.58819973,46.58952819,46.58952819,47.58997341,left,0.888485141,47.58997341,None,0.05,180,1,108651.8084,44.29273477,angel1,1,2020_Dec_03_1050,testDots,2020.2.5,60.23046416
7,0,7,0,48.52798592,49.53883642,49.50734111,49.80575579,49.80575579,50.82315762,50.82315762,51.81087235,right,0.73154185,51.81087235,None,0.2,0,1,108656.0269,48.50978162,angel1,1,2020_Dec_03_1050,testDots,2020.2.5,60.23046416
8,0,8,0,52.58956075,53.5919716,53.57672048,53.89089481,53.87791252,54.88216845,54.88216845,55.87411635,left,1.084329309,55.87411635,None,0.5,180,1,108660.0919,52.57422893,angel1,1,2020_Dec_03_1050,testDots,2020.2.5,60.23046416
9,0,9,0,57.00745948,58.01061726,57.98989172,58.2901301,58.2901301,59.29019709,59.29019709,60.29107242,left,0.467359289,60.29107242,None,0.1,180,1,108664.5117,56.99338587,angel1,1,2020_Dec_03_1050,testDots,2020.2.5,60.23046416
