trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,fixation2.started,fixation2.stopped,smooth_pursuit.started,smooth_pursuit.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,correct,pupil_timestamp,psychopy_timestamp,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,43.30985683,44.32534072,44.29005331,44.59313972,44.59313972,45.60689599,45.59063442,46.59063777,left,0.797086531,46.59063777,None,0.24,180,1,1307.885494,43.30701677,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
1,0,1,0,47.4246455,48.42419459,48.39087726,48.6906819,48.70723528,49.70793292,49.70793292,50.70811348,right,0.61558619,50.70811348,None,0.48,0,1,1312.001799,47.42463875,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
2,0,2,0,51.3596703,52.37477085,52.34161933,52.64154873,52.64154873,53.64359449,53.64359449,54.64409651,left,1.255612481,54.64409651,None,0.06,0,0,1315.929665,51.34093738,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
3,0,3,0,55.94231206,56.94409698,56.92997331,57.24225835,57.22814659,58.24255648,58.22640379,59.22593739,right,1.145771735,59.22593739,None,0.03,180,0,1320.513323,55.92546805,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
4,0,4,0,60.41039312,61.4120717,61.3929948,61.69372939,61.69372939,62.69355983,62.69355983,63.69470432,left,1.020960905,63.69470432,None,0.12,0,0,1324.986326,60.39553218,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
5,0,5,0,64.76412454,65.77677262,65.74353578,66.04362729,66.04362729,67.04627223,67.04627223,68.04747255,left,0.436210363,68.04747255,None,0.12,180,1,1329.33268,64.74336953,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
6,0,6,0,68.52821978,69.52820878,69.51096275,69.81099745,69.81099745,70.81126261,70.81126261,71.81134512,right,0.704347948,71.81134512,None,0.24,0,1,1333.10025,68.51188228,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
7,0,7,0,72.56152109,73.56161114,73.54720261,73.86177309,73.84609086,74.84574611,74.84574611,75.84521884,right,0.518488979,75.84521884,None,0.06,0,1,1337.13409,72.5448981,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
8,0,8,0,76.39545594,77.39755548,77.37890062,77.67882393,77.67882393,78.67907108,78.67907108,79.68017153,left,0.491519117,79.68017153,None,0.03,180,1,1340.970573,76.38049885,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
9,0,9,0,80.21435389,81.22964827,81.19643818,81.49611826,81.49611826,82.49657827,82.49657827,83.49891554,right,0.52881788,83.49891554,None,0.48,0,1,1344.789538,80.200354,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
10,0,10,0,84.06823244,85.08012434,85.04688315,85.34742702,85.34742702,86.34791312,86.34791312,87.34770895,right,2.839987726,87.34770895,None,0.06,0,1,1348.637663,84.05022852,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
11,0,11,0,90.2348251,91.24769038,91.21449397,91.51436593,91.51436593,92.51647576,92.51647576,93.51711847,right,0.390577332,93.51711847,None,0.12,0,1,1354.801872,90.21404641,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
12,0,12,0,93.95192717,94.96495743,94.93183214,95.23183749,95.23183749,96.23552486,96.23552486,97.23600547,left,0.327703533,97.23600547,None,0.48,180,1,1358.519804,93.93175147,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
13,0,13,0,97.60247594,98.6153484,98.5822622,98.88237206,98.88237206,99.88218178,99.88218178,100.8833289,right,0.544354691,100.8833289,None,0.03,180,0,1362.171159,97.5819512,justin1,1,2020_Dec_11_1040,testDots,2020.2.5,59.99342628
